			STT	STT	NT	NT	Cluster	Cluster	XC	XC	BRKGA-STT	BRKGA-Cluster	BRKGA-A	Best Upper Bound	Optimum
Geographic Distribution	case	Instance	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	CPU (s)	object funcion value	object funcion value	object funcion value	object funcion value	object funcion value
R	3	1	96.03192	0.010	94.13000	0.000	102.03192	0.000	101.03192	0.000	105.01566	105.01566	105.01566	105.16365	105.01566
R	3	2	89.06138	0.020	85.06951	0.000	94.09304	0.000	91.07584	0.000	96.06454	96.06454	96.06454	100.18209	96.06454
R	3	3	101.10650	0.010	104.05561	0.000	101.10294	0.000	107.02541	0.000	115.05636	115.05636	115.05636	123.07331	115.05636
R	3	4	127.04955	0.020	122.05981	0.000	122.05981	0.005	123.06846	0.000	130.02405	130.02405	130.02405	139.08776	
R	3	5	114.16161	0.005	113.10206	0.000	106.09792	0.000	110.10299	0.000	123.07956	123.07956	123.07956	134.18302	123.07956
R	3	6	98.04625	0.015	106.07285	0.000	106.07285	0.000	106.03924	0.000	111.03314	111.03314	111.03314	116.11681	111.03314
R	3	7	56.01167	0.005	56.01826	0.000	56.01826	0.000	58.02839	0.000	60.04294	60.04294	60.04294	65.57927	
R	3	8	136.00696	0.005	130.03241	0.000	127.01878	0.000	133.02777	0.000	141.01044	141.01044	141.01044	150.06681	
R	3	9	117.09325	0.005	122.11331	0.000	126.06384	0.000	119.10021	0.000	132.04529	132.04529	132.04529	140.13166	132.04529
R	3	10	144.05548	0.000	144.01598	0.000	144.04190	0.000	139.07822	0.000	155.02211	155.02211	155.02211	167.07465	
R	3	11	130.02191	0.005	132.01434	0.000	131.03626	0.000	129.08604	0.005	138.03084	138.03084	138.02429	146.04638	138.03084
R	3	12	103.05728	0.005	108.03473	0.005	108.03473	0.000	100.03473	0.000	110.03075	110.03075	110.03075	119.01207	
R	3	13	112.06337	0.000	125.01948	0.000	116.04576	0.000	117.04716	0.000	127.03871	127.03871	127.03871	137.09002	127.03871
R	3	14	96.10809	0.005	101.05602	0.000	96.10809	0.000	95.09596	0.000	104.07289	104.07289	104.07289	111.13860	104.07289
R	3	15	104.08071	0.010	103.04563	0.000	107.06079	0.000	107.05796	0.000	114.03702	114.03702	114.03702	121.18256	114.03702
R	3	16	106.07615	0.010	106.10255	0.000	106.10255	0.005	105.11111	0.000	116.03705	116.03705	116.03705	124.13442	116.03705
R	3	17	117.06653	0.005	117.06454	0.000	117.06454	0.000	115.08596	0.000	121.03579	121.03579	121.03579	125.17130	121.03579
R	3	18	114.04018	0.000	110.04986	0.000	109.05208	0.000	107.08242	0.000	116.02842	116.02842	116.02842	123.13372	116.02842
R	3	19	120.05958	0.010	113.06300	0.000	110.06443	0.000	113.15331	0.000	125.07394	125.07394	125.07394	130.16676	125.07394
R	3	20	98.08552	0.000	104.05520	0.000	104.05520	0.000	104.03180	0.000	114.03518	114.03518	114.03518	127.09020	114.03518
C	3	1	77.12639	0.015	71.12639	0.000	74.12639	0.000	74.07887	0.000	84.12612	84.12612	84.12612	84.25971	84.12612
C	3	2	114.01468	0.010	108.10308	0.000	108.10308	0.000	108.10308	0.000	118.03627	118.03627	118.03627	119.19087	118.03627
C	3	3	55.55990	0.000	54.05973	0.000	58.03961	0.000	57.53961	0.000	60.56829	60.56829	60.56829	64.58098	60.56829
C	3	4	128.07303	0.015	126.08701	0.000	130.02937	0.000	127.02049	0.000	136.03326	136.03326	136.03326	142.04727	
C	3	5	113.08624	0.000	109.08181	0.000	109.08181	0.000	111.09057	0.005	119.06778	119.06778	119.06778	126.13644	119.06778
C	3	6	121.06428	0.000	122.08741	0.000	122.06550	0.000	118.04840	0.000	128.00546	128.00546	128.00546	132.07274	128.00546
C	3	7	115.06550	0.000	118.00751	0.000	116.04874	0.000	112.06622	0.000	122.01907	122.01907	122.01907	127.09001	122.01907
C	3	8	68.54380	0.000	67.59209	0.000	68.57549	0.000	70.07334	0.000	74.02528	74.02528	74.02429	76.55937	
C	3	9	100.11577	0.000	104.04761	0.000	104.04761	0.005	99.07960	0.000	110.01674	110.01674	110.01238	113.10016	
